163.55,160.44,0
163.5,160.38,0
163.45,160.33,0
163.4,160.28,0
163.35,160.23,0
163.3,160.18,0
163.25,160.13,0
163.2,160.08,0
163.15,160.03,0
163.1,159.99,0
163.05,159.94,0
163,159.9,0
162.96,159.85,0
162.91,159.81,0
162.86,159.76,0
162.81,159.72,0
162.76,159.67,0
162.72,159.63,0
162.67,159.58,0
162.62,159.53,0
162.57,159.49,0
162.52,159.44,0
162.47,159.39,0
162.43,159.34,0
162.38,159.3,0
162.33,159.25,0
162.28,159.2,0
162.23,159.15,0
162.18,159.1,0
162.14,159.06,0
162.09,159.01,0
162.04,158.96,0
161.99,158.91,0
161.94,158.86,0
161.89,158.82,0
161.85,158.77,0
161.8,158.72,0
161.75,158.67,0
161.71,158.63,0
161.66,158.58,0
161.61,158.53,0
161.57,158.49,0
161.52,158.44,0
161.47,158.4,0
161.43,158.35,0
161.38,158.31,0
161.34,158.27,0
161.29,158.22,0
161.25,158.18,0
161.21,158.13,0
161.16,158.09,0
161.12,158.04,0
161.07,158,0
161.03,157.96,0
160.98,157.91,0
160.94,157.87,0
160.9,157.83,0
160.85,157.78,0
160.81,157.74,0
160.77,157.7,0
160.72,157.65,0
160.68,157.61,0
160.63,157.56,0
160.59,157.52,0
160.55,157.47,0
160.5,157.43,0
160.46,157.38,0
160.41,157.33,0
160.37,157.29,0
160.32,157.24,0
160.28,157.19,0
160.23,157.15,0
160.19,157.1,0
160.15,157.05,0
160.1,157.01,0
160.06,156.96,0
160.01,156.92,0
159.97,156.87,0
159.93,156.83,0
159.88,156.78,0
159.84,156.74,0
159.8,156.69,0
159.75,156.65,0
159.71,156.6,0
159.66,156.56,0
159.62,156.51,0
159.58,156.47,0
159.53,156.42,0
159.49,156.38,0
159.45,156.33,0
159.4,156.29,0
159.36,156.24,0
159.32,156.2,0
159.27,156.15,0
159.23,156.11,0
159.19,156.07,0
159.15,156.03,0
159.11,155.99,0
159.07,155.95,0
159.03,155.91,0
158.99,155.87,0
158.95,155.83,0
158.91,155.8,0
158.87,155.76,0
158.83,155.73,0
158.79,155.69,0
158.75,155.66,0
158.72,155.62,0
158.68,155.59,0
158.64,155.55,0
158.61,155.52,0
158.57,155.49,0
158.53,155.46,0
158.5,155.42,0
158.46,155.39,0
158.43,155.36,0
158.39,155.32,0
158.35,155.29,0
158.31,155.25,0
158.28,155.22,0
158.24,155.18,0
158.2,155.14,0
158.16,155.1,0
158.12,155.06,0
158.08,155.02,0
158.04,154.98,0
157.99,154.93,0
157.95,154.89,0
157.91,154.85,0
157.87,154.81,0
157.83,154.76,0
157.79,154.72,0
157.75,154.68,0
157.71,154.64,0
157.67,154.6,0
157.63,154.56,0
157.6,154.52,0
157.56,154.48,0
157.52,154.45,0
157.48,154.41,0
157.44,154.37,0
157.4,154.32,0
157.36,154.28,0
157.32,154.24,0
157.28,154.19,0
157.23,154.14,0
157.19,154.1,0
157.15,154.05,0
157.1,154,0
157.06,153.95,0
157.01,153.9,0
156.97,153.85,0
156.92,153.8,0
156.88,153.75,0
156.83,153.69,0
156.78,153.64,0
156.74,153.59,0
156.69,153.54,0
156.65,153.49,0
156.6,153.44,0
156.55,153.39,0
156.51,153.34,0
156.46,153.29,0
156.42,153.24,0
156.37,153.2,0
156.33,153.15,0
156.29,153.11,0
156.24,153.06,0
156.2,153.02,0
156.16,152.98,0
156.11,152.94,0
156.07,152.9,0
156.03,152.86,0
155.99,152.82,0
155.95,152.78,0
155.91,152.74,0
155.87,152.7,0
155.83,152.67,0
155.79,152.63,0
155.75,152.59,0
155.71,152.56,0
155.66,152.52,0
155.62,152.48,0
155.58,152.45,0
155.54,152.41,0
155.5,152.37,0
155.46,152.34,0
155.42,152.3,0
155.38,152.26,0
155.34,152.23,0
155.3,152.19,0
155.26,152.15,0
155.22,152.12,0
155.18,152.08,0
155.13,152.04,0
155.09,152.01,0
155.05,151.97,0
155.01,151.93,0
154.97,151.89,0
154.93,151.85,0
154.89,151.81,0
154.84,151.77,0
